SystemCodeNumber,Capacity,Occupancy,LastUpdated,Normalized
BHMBCCMKT01,577,62.5,10/4/2016 8:00,0.098471719
BHMBCCMKT01,577,72,10/4/2016 8:30,0.11343942
BHMBCCMKT01,577,89,10/4/2016 9:00,0.140223728
BHMBCCMKT01,577,98,10/4/2016 9:30,0.154403655
BHMBCCMKT01,577,163.5,10/4/2016 10:00,0.257602017
BHMBCCMKT01,577,198,10/4/2016 10:30,0.311958406
BHMBCCMKT01,577,233,10/4/2016 11:00,0.367102568
BHMBCCMKT01,577,253,10/4/2016 11:30,0.398613518
BHMBCCMKT01,577,262.5,10/4/2016 12:00,0.41358122
BHMBCCMKT01,577,267,10/4/2016 12:30,0.420671183
BHMBCCMKT01,577,268,10/4/2016 13:00,0.422246731
BHMBCCMKT01,577,254.6666667,10/4/2016 13:30,0.401239431
BHMBCCMKT01,577,246.3333333,10/4/2016 14:00,0.388109868
BHMBCCMKT01,577,203.5,10/4/2016 14:30,0.320623917
BHMBCCMKT01,577,183,10/4/2016 15:00,0.288325193
BHMBCCMKT01,577,174,10/4/2016 15:30,0.274145266
BHMBCCMKT01,577,163.5,10/4/2016 16:00,0.257602017
BHMBCCMKT01,577,152.5,10/4/2016 16:30,0.240270994
BHMBCCMKT01,577,56.5,10/5/2016 8:00,0.089018434
BHMBCCMKT01,577,63,10/5/2016 8:30,0.099259493
BHMBCCMKT01,577,67,10/5/2016 9:00,0.105561683
BHMBCCMKT01,577,77,10/5/2016 9:30,0.121317158
BHMBCCMKT01,577,98.5,10/5/2016 10:00,0.155191429
BHMBCCMKT01,577,134.6666667,10/5/2016 10:30,0.21217373
BHMBCCMKT01,577,141.3333333,10/5/2016 11:00,0.22267738
BHMBCCMKT01,577,167.3333333,10/5/2016 11:30,0.263641615
BHMBCCMKT01,577,172.6666667,10/5/2016 12:00,0.272044535
BHMBCCMKT01,577,180.5,10/5/2016 12:30,0.284386324
BHMBCCMKT01,577,177,10/5/2016 13:00,0.278871908
BHMBCCMKT01,577,176.5,10/5/2016 13:30,0.278084134
BHMBCCMKT01,577,166,10/5/2016 14:00,0.261540885
BHMBCCMKT01,577,151.5,10/5/2016 14:30,0.238695447
BHMBCCMKT01,577,139.6666667,10/5/2016 15:00,0.220051468
BHMBCCMKT01,577,134.3333333,10/5/2016 15:30,0.211648548
BHMBCCMKT01,577,125,10/5/2016 16:00,0.196943438
BHMBCCMKT01,577,86,10/5/2016 16:30,0.135497085
BHMBCCMKT01,577,60.5,10/6/2016 8:00,0.095320624
BHMBCCMKT01,577,66.5,10/6/2016 8:30,0.104773909
BHMBCCMKT01,577,78.33333333,10/6/2016 9:00,0.123417888
BHMBCCMKT01,577,86.66666667,10/6/2016 9:30,0.13654745
BHMBCCMKT01,577,115,10/6/2016 10:00,0.181187963
BHMBCCMKT01,577,168.5,10/6/2016 10:30,0.265479754
BHMBCCMKT01,577,184,10/6/2016 11:00,0.289900741
BHMBCCMKT01,577,193.6666667,10/6/2016 11:30,0.305131033
BHMBCCMKT01,577,196.3333333,10/6/2016 12:00,0.309332493
BHMBCCMKT01,577,202.5,10/6/2016 12:30,0.31904837
BHMBCCMKT01,577,203,10/6/2016 13:00,0.319836144
BHMBCCMKT01,577,204,10/6/2016 13:30,0.321411691
BHMBCCMKT01,577,187.5,10/6/2016 14:00,0.295415157
BHMBCCMKT01,577,169.3333333,10/6/2016 14:30,0.26679271
BHMBCCMKT01,577,163.6666667,10/6/2016 15:00,0.257864608
BHMBCCMKT01,577,155.5,10/6/2016 15:30,0.244997637
BHMBCCMKT01,577,144,10/6/2016 16:00,0.226878841
BHMBCCMKT01,577,105.3333333,10/6/2016 16:30,0.16595767
BHMBCCMKT01,577,81.66666667,10/7/2016 8:00,0.128669713
BHMBCCMKT01,577,65.66666667,10/7/2016 8:30,0.103460953
BHMBCCMKT01,577,70.33333333,10/7/2016 9:00,0.110813508
BHMBCCMKT01,577,89,10/7/2016 9:30,0.140223728
BHMBCCMKT01,577,150,10/7/2016 10:00,0.236332125
BHMBCCMKT01,577,180,10/7/2016 10:30,0.283598551
BHMBCCMKT01,577,193.5,10/7/2016 11:00,0.304868442
BHMBCCMKT01,577,202.6666667,10/7/2016 11:30,0.319310961
BHMBCCMKT01,577,206.3333333,10/7/2016 12:00,0.325087968
BHMBCCMKT01,577,208,10/7/2016 12:30,0.327713881
BHMBCCMKT01,577,203,10/7/2016 13:00,0.319836144
BHMBCCMKT01,577,198.3333333,10/7/2016 13:30,0.312483588
BHMBCCMKT01,577,195.6666667,10/7/2016 14:00,0.308282128
BHMBCCMKT01,577,178,10/7/2016 14:30,0.280447455
BHMBCCMKT01,577,175,10/7/2016 15:00,0.275720813
BHMBCCMKT01,577,165.5,10/7/2016 15:30,0.260753112
