date,values,normalized,,
2/8/2013,56.46,0.777214911,,
2/9/2013,56.48,0.777490226,,
2/10/2013,56.5,0.777765542,,
2/11/2013,56.52,0.778040857,,
2/12/2013,56.4,0.776388965,,
2/13/2013,56.86,0.782721216,,
2/14/2013,56.79,0.781757612,,
2/15/2013,56.81,0.782032928,,
2/16/2013,56.8225,0.782205,,
2/17/2013,56.835,0.782377072,,
2/18/2013,56.8475,0.782549144,,
2/19/2013,56.86,0.782721216,,
2/20/2013,56.9,0.783271846,,
2/21/2013,55.34,0.761797258,,
2/22/2013,54.96,0.756566268,,
2/23/2013,55.11003333,0.758631591,,
2/24/2013,55.26006667,0.760696915,,
2/25/2013,55.4101,0.762762238,,
2/26/2013,53.77,0.740185012,,
2/27/2013,54.02,0.743626452,,
2/28/2013,54.5,0.750234018,,
3/1/2013,54.59,0.751472937,,
3/2/2013,54.50666667,0.75032579,,
3/3/2013,54.42333333,0.749178643,,
3/4/2013,54.34,0.748031496,,
3/5/2013,55.55,0.764688068,,
3/6/2013,54.98,0.756841584,,
3/7/2013,53.69,0.739083751,,
3/8/2013,53.18,0.732063212,,
3/9/2013,53.15333333,0.731696125,,
3/10/2013,53.12666667,0.731329038,,
3/11/2013,53.1,0.730961951,,
3/12/2013,51.7,0.711689885,,
3/13/2013,52.96,0.729034745,,
3/14/2013,51.79,0.712928803,,
3/15/2013,51.72,0.7119652,,
3/16/2013,51.1,0.703430428,,
3/17/2013,50.48,0.694895656,,
3/18/2013,49.86,0.686360883,,
3/19/2013,51,0.702053852,,
3/20/2013,51.67,0.711276912,,
3/21/2013,52.2,0.718572766,,
3/22/2013,53.01,0.729723033,,
3/23/2013,53.14,0.731512582,,
3/24/2013,53.27,0.733302131,,
3/25/2013,53.4,0.73509168,,
3/26/2013,51.67,0.711276912,,
3/27/2013,51.66,0.711139254,,
3/28/2013,52.04,0.716370244,,
3/29/2013,52.94,0.72875943,,
3/30/2013,53.84,0.741148615,,
3/31/2013,54.74,0.753537801,,
4/1/2013,55.64,0.765926986,,
4/2/2013,56.26,0.774461759,,
4/3/2013,55.81,0.768267166,,
4/4/2013,55.34,0.761797258,,
4/5/2013,54.73,0.753400143,,
4/6/2013,54.96,0.756566268,,
4/7/2013,55.19,0.759732394,,
4/8/2013,55.42,0.762898519,,
4/9/2013,55.44,0.763173834,,
4/10/2013,56.33,0.775425362,,
4/11/2013,57.42,0.790430042,,
4/12/2013,57.9,0.797037608,,
4/13/2013,57.59333333,0.792816108,,
4/14/2013,57.28666667,0.788594608,,
4/15/2013,56.98,0.784373107,,
4/16/2013,56.19,0.773498155,,
4/17/2013,56.49,0.777627884,,
4/18/2013,53.85,0.741286273,,
4/19/2013,52.77,0.72641925,,
4/20/2013,52.56,0.72352844,,
4/21/2013,52.35,0.72063763,,
4/22/2013,52.14,0.71774682,,
4/23/2013,51.96,0.715268983,,
4/24/2013,53,0.729585375,,
4/25/2013,53.31,0.733852761,,
4/26/2013,52.4,0.721325918,,
4/27/2013,52.47,0.722289522,,
4/28/2013,52.54,0.723253125,,
4/29/2013,52.61,0.724216728,,
4/30/2013,52.6701,0.72504405,,
5/1/2013,52.38,0.721050603,,
5/2/2013,52.42,0.721601233,,
5/3/2013,54,0.743351137,,
5/4/2013,54.02,0.743626452,,
5/5/2013,54.04,0.743901768,,
5/6/2013,54.06,0.744177083,,
5/7/2013,53.93,0.742387534,,
5/8/2013,54.01,0.743488795,,
5/9/2013,54.99,0.756979241,,
5/10/2013,55.39,0.762485546,,
5/11/2013,55.52333333,0.764320981,,
