Source,Date,Mean,shifted,normalized
GCAG,1880-01,0.0009,0.6805,0.324896993
GCAG,1880-02,-0.1229,0.5567,0.265790089
GCAG,1880-03,-0.1357,0.5439,0.259678875
GCAG,1880-04,-0.0499,0.6297,0.30064311
GCAG,1880-05,-0.0738,0.6058,0.289232326
GCAG,1880-06,-0.1692,0.5104,0.24368468
GCAG,1880-07,-0.1491,0.5305,0.253281197
GCAG,1880-08,-0.0725,0.6071,0.289852997
GCAG,1880-09,-0.0817,0.5979,0.285460561
GCAG,1880-10,-0.1786,0.501,0.239196757
GCAG,1880-11,-0.2672,0.4124,0.196895694
GCAG,1880-12,-0.0775,0.6021,0.287465803
GCAG,1881-01,-0.0205,0.6591,0.314679806
GCAG,1881-02,-0.0296,0.65,0.310335114
GCAG,1881-03,0.0348,0.7144,0.341082162
GCAG,1881-04,0.0734,0.753,0.359511294
GCAG,1881-05,0.0284,0.708,0.338026555
GCAG,1881-06,-0.0892,0.5904,0.281879771
GCAG,1881-07,-0.0329,0.6467,0.308759567
GCAG,1881-08,-0.0519,0.6277,0.299688233
GCAG,1881-09,-0.1824,0.4972,0.23738249
GCAG,1881-10,-0.2207,0.4589,0.219096591
GCAG,1881-11,-0.2194,0.4602,0.219717261
GCAG,1881-12,-0.0439,0.6357,0.303507742
GCAG,1882-01,0.0883,0.7679,0.36662513
GCAG,1882-02,0.0385,0.7181,0.342848685
GCAG,1882-03,0.0754,0.755,0.360466171
GCAG,1882-04,-0.1241,0.5555,0.265217163
GCAG,1882-05,-0.1459,0.5337,0.254809001
GCAG,1882-06,-0.1391,0.5405,0.258055583
GCAG,1882-07,-0.0666,0.613,0.292669885
GCAG,1882-08,-0.0037,0.6759,0.322700775
GCAG,1882-09,0.0077,0.6873,0.328143575
GCAG,1882-10,-0.2101,0.4695,0.22415744
GCAG,1882-11,-0.1279,0.5517,0.263402896
GCAG,1882-12,-0.1705,0.5091,0.24306401
GCAG,1883-01,-0.2707,0.4089,0.195224659
GCAG,1883-02,-0.2915,0.3881,0.185293935
GCAG,1883-03,-0.1326,0.547,0.261158935
GCAG,1883-04,-0.1746,0.505,0.241106512
GCAG,1883-05,-0.1455,0.5341,0.254999976
GCAG,1883-06,-0.0066,0.673,0.321316203
GCAG,1883-07,-0.0849,0.5947,0.283932758
GCAG,1883-08,-0.0526,0.627,0.299354026
GCAG,1883-09,-0.1467,0.5329,0.25442705
